ID,Model Type,Data Type,Accuracy,Loss,F1 Score,Cohen Kappa Score,Overall Score,Comments
1,Densenet,No Augmentation,87.82608696,0.462235217,0.769473081,0.539012169,0.654242625,EpochNumber_2
2,VGG19,No Augmentation,93.04347826,0.210835537,0.861944778,0.723930983,0.79293788,EpochNumber_9
3,Resnet,No Augmentation,84.7826087,0.590420804,0.458823529,0,0.229411765,EpochNumber_2
4,Alexnet,No Augmentation,84.7826087,0.434436032,0.458823529,0,0.229411765,EpochNumber_6
5,Densenet,Conventional Augmentation,91.30434783,0.331828115,0.796676096,0.596844873,0.696760485,EpochNumber_7
6,VGG19,Conventional Augmentation,90,0.374044231,0.808465187,0.616944243,0.712704715,EpochNumber_9
7,Resnet,Conventional Augmentation,74.34782609,0.570257153,0.549154457,0.10072896,0.324941708,EpochNumber_4
8,Alexnet,Conventional Augmentation,84.7826087,0.396535426,0.649558139,0.304235091,0.476896615,EpochNumber_3
9,Densenet,GAN Augmentation,90.86956522,0.460424673,0.832727273,0.665743945,0.749235609,EpochNumber_3
10,Alexnet,GAN Augmentation,86.08695652,0.36602122,0.736540664,0.473156764,0.604848714,EpochNumber_14
11,Resnet,GAN Augmentation,79.13043478,0.529393711,0.61349951,0.22743177,0.42046564,EpochNumber_4
12,VGG19,GAN Augmentation,91.30434783,0.388265097,0.831501832,0.663003663,0.747252747,EpochNumber_3